persona_id,profile_id,gender,economic_status,political_spectrum,personality
04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
3f756c71-0d9c-4ac3-8df3-1c1f0402e19f,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
9f0ff784-254f-4a03-b9f8-709e0e9e3261,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
24a9d5c0-8096-4770-82df-14538b92d2a2,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
8ed873e2-8eee-4459-a7e2-c05ad164e7f0,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
ca4116b5-bc52-429c-ab24-81caa863f916,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
d9e33615-223d-4485-970e-1946edc35df0,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
1a9445ff-3d2e-4a9b-9bb7-4fac2b5024fb,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
d5d8f5bf-66e1-4a86-b354-38f1d0a74ac7,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
9b28f8da-08e7-4cb2-ac8b-a54e5ecf6862,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
4c3db201-e596-4498-92a0-272ce4b9fc96,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
7f48e762-5530-4d42-815b-58bc363bec05,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
1bb9b99a-fcb6-4582-8985-4b03417ff6fc,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
6619a8bf-c054-4206-8902-5029770b25f9,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
e2cca5c1-8af3-4fd6-b75d-d56eb77d844a,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
692fdc3f-1b44-471d-b327-88d64546cd9b,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
6108e427-27d6-4c55-819e-2f56922f9314,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
dc82d5b7-5bc0-40f8-ab25-276a466cf374,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
ebe0d3e3-c292-4896-8256-a85ed440c254,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
8c78821a-d485-4e4c-8723-caf490e24e98,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
e1be25e8-e128-4a0d-b755-1f6f60705fdd,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
72b2594b-a50f-4da7-8382-8eb933e9dfa5,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
cb1509ba-a611-4d23-8660-7ea2ca194f5f,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
b22fbd19-bd31-4bc7-af27-0071acc40a80,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
32d801c0-48e7-4364-bfb9-14585848962f,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
aee62184-089b-4e96-9bc5-6678ddd735cc,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
d9cf7415-cb15-4f13-9d99-0b12e5a2f4f0,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
04c616b4-ea3c-4303-aa9c-71f142084079,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
87743bab-dd2a-453e-9bea-ba7bb585ea5b,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
d43a1e7f-c3e1-4547-8d45-fc0952941fbe,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
cc53b4f8-2467-4dad-999d-f36bac74afb1,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
5a5c0f4e-90a8-4b84-8734-2660a9f80df2,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
6477880e-a59a-4c65-a9e7-06cf9f2583ca,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
2e9ef309-1250-4985-91ad-9102061a9fc9,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
ff424a1a-8f07-454f-96ce-51785dd91d45,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
bf788061-22f8-4471-a908-8d46cf3b25dc,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
6e69ebb8-386e-4c7d-b455-42d5c5f13b01,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
2de0127e-0265-4fd5-b240-6fc47d83faf5,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
a7065560-0dd0-4a0d-8144-fb7140c5592d,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
4ea3f652-9347-4dfd-adea-a12f4ee04bfa,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
0a1c55c7-47a5-4a9f-af7d-6a6494f33233,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
5925ea8d-3c58-4679-bbd5-32c7beb56c0d,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
b55d242f-93bb-44c6-8489-438e10b2c866,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
4a006106-b003-4b4c-a971-4bd6b4dd84aa,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
130aa40d-e126-49f7-a69a-e6689c63d749,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
75a05d68-034c-43b2-a3f5-ae5757d4c7c0,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
06990a25-a672-4775-a2f5-167a945c4c78,057b7db1-0b35-4d14-be8e-513028c61ce4,Female,Low income,Conservative,Pragmatic
